Frequenz;Gain;Phase;Eingangsspannung ;Ausgangsspannung
5,00E-02;4,16E+01;7,30E+01;1,10E-02;1,17E+00
1,00E-01;46,3;58,822;1,12E-02;2,02E+00
2,00E-01;49,4;41,775;1,13E-02;2,89E+00
5,00E-01;50,9;24,975;1,19E-02;3,47E+00
1,00E+00;51,4;13,7;1,23E-02;3,60E+00
4,00E+00;51,4;2,1;1,24E-02;3,64E+00
1,00E+01;51,3;-10;1,29E-02;3,62E+00
2,00E+01;51;-35;1,07E-02;3,50E+00
4,00E+01;48,4;-96;1,05E-02;2,56E+00
4,50E+01;44,8;-122;1,07E-02;1,68E+00
4,70E+01;41,4;-134;1,08E-02;1,14E+00
4,80E+01;38,7;-143;1,06E-02;8,37E-01
4,90E+01;34,5;-150;1,07E-02;5,20E-01
5,00E+01;26,1;-164;1,05E-02;1,94E-01
5,10E+01;22,4;22;1,07E-02;1,29E-01
5,20E+01;32,9;7;1,07E-02;4,33E-01
5,30E+01;37,7;2,70E+00;1,06E-02;7,14E-01
5,50E+01;4,17E+01;-1,40E+01;1,08E-02;1,20E+00
6,00E+01;4,58E+01;-4,00E+01;1,07E-02;1,90E+00
8,00E+01;4,66E+01;-9,30E+01;1,06E-02;2,07E+00
1,00E+02;4,44E+01;-1,22E+02;1,07E-02;1,61E+00
1,30E+02;4,02E+01;-1,55E+02;1,08E-02;9,92E-01
1,50E+02;3,74E+01;-1,74E+02;1,06E-02;7,16E-01
2,00E+02;3,10E+01;-1,65E+02;1,08E-02;3,46E-01
3,00E+02;2,11E+01;-1,41E+02;1,09E+01;1,11E-01
4,00E+02;1,36E+01;-1,28E+02;1,15E-02;4,88E-02
6,00E+02;3,10E+00;-1,14E+02;1,13E-02;1,51E-02